Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-79.44166666666666, 44.391666666666666, -79.48333333333333, 44.43333333333334, -79.4, 44.35
-79.35833333333333, 44.45833333333333, -79.4, 44.5, -79.31666666666666, 44.416666666666664
-82.35833333333333, 43.108333333333334, -82.4, 43.15, -82.31666666666666, 43.06666666666666
-79.275, 44.475, -79.31666666666666, 44.516666666666666, -79.23333333333333, 44.43333333333334
-79.69166666666666, 43.30833333333334, -79.73333333333333, 43.35, -79.65, 43.266666666666666
-80.10833333333333, 44.55833333333334, -80.15, 44.6, -80.06666666666666, 44.516666666666666
-82.275, 43.125, -82.31666666666666, 43.166666666666664, -82.23333333333333, 43.083333333333336
-82.39166666666667, 43.19166666666666, -82.43333333333334, 43.233333333333334, -82.35, 43.15
-79.60833333333333, 43.30833333333334, -79.65, 43.35, -79.56666666666666, 43.266666666666666
-79.35833333333333, 44.375, -79.4, 44.416666666666664, -79.31666666666666, 44.333333333333336
-80.19166666666666, 44.575, -80.23333333333333, 44.61666666666667, -80.15, 44.53333333333333
-81.82499999999999, 43.391666666666666, -81.86666666666666, 43.43333333333334, -81.78333333333333, 43.35
-79.60833333333333, 43.391666666666666, -79.65, 43.43333333333334, -79.56666666666666, 43.35
-80.09166666666667, 44.641666666666666, -80.13333333333334, 44.68333333333334, -80.05, 44.6
-82.30833333333334, 43.20833333333333, -82.35, 43.25, -82.26666666666667, 43.166666666666664
-79.54166666666666, 43.49166666666667, -79.58333333333333, 43.53333333333333, -79.5, 43.45
-82.19166666666666, 43.175, -82.23333333333333, 43.21666666666667, -82.15, 43.13333333333333
-79.525, 43.29166666666667, -79.56666666666666, 43.333333333333336, -79.48333333333333, 43.25
-82.42500000000001, 43.275, -82.46666666666667, 43.31666666666666, -82.38333333333334, 43.233333333333334
-81.90833333333333, 43.325, -81.95, 43.36666666666667, -81.86666666666666, 43.28333333333333
-79.45833333333334, 43.54166666666667, -79.5, 43.583333333333336, -79.41666666666667, 43.5
-78.99166666666667, 42.79166666666667, -79.03333333333333, 42.833333333333336, -78.95, 42.75
-79.525, 43.40833333333333, -79.56666666666666, 43.45, -79.48333333333333, 43.36666666666667
-81.99166666666667, 43.30833333333334, -82.03333333333333, 43.35, -81.95, 43.266666666666666
-81.80833333333334, 43.475, -81.85, 43.516666666666666, -81.76666666666667, 43.43333333333334
-79.075, 42.775, -79.11666666666667, 42.81666666666666, -79.03333333333333, 42.733333333333334
